question,option_a,option_b,option_c,option_d,correct_option
Who is the immediate past MD of FAAN?,Mrs. Olubunmi Kuku,Mr. Kabir Yusuf Mohammed,Captain Rabiu Hamisu Yadudu,Engr. Saleh Dunoma,option_b
Who is the President of ACI Africa?,Mr. Fabrice Grondin,Mrs. Olubunmi Kuku,Mr. Zouhair Mohammed El Aoufir,Mr. Salvatore Sciacchitano,option_a
Who is the Vice President of ACI Africa?,Mr. Fabrice Grondin,Mr. Salvatore Sciacchitano,Mr. Zouhair Mohammed El Aoufir,Mrs. Olubunmi Kuku,option_d
Who is the ICAO President?,Mr. Fabrice Grondin,Mr. Salvatore Sciacchitano,Mr. Edward Pearson Warner,Mr. Walter Binaghi,option_b
The following are former Ministers in Nigeria’s Aviation Ministry except,Isa Yuguda,Princess Stella Odua,Kema Chikwe,Captain Muktar Muye,option_d
Who is Nigeria’s immediate former Aviation Minister?,Fidelia Akuabata Njeze,Kema Chikwe,Princess Stella Odua,Hadi Sirika,option_d
One of the following is not a member of the FAAN Management Team?,Mrs. Olubunmi Kuku,Sadiku Abdulkadir Rafindadi,Afegbai Albert Igbafe,Emiola Olatubosun Lugman,option_b
Who is FAAN’s current Director of Airport Operations?,Henry Agbebire,Abdullahi Zubeir Mahmood,Afegbai Albert Igbafe,Emiola Olatubosun Lugman,option_b
Mention countries with written constitution?,Isreal and Saudi Arabia,Nigeria and Ghana,New Zealand and United Kingdom,None of the above,option_b
The following countries operate with unwritten constitution except,Isreal,Ghana,New Zealand,United Kingdom,option_b
The first set of rules guiding conduct of Civil Servants is called what?,Circulars,Constitution,Code of Conduct,The General Orders (G.O),option_d
The following are contents of the Public Service Rules (PSR) except?,Constitution,Financial Regulations,Circulars,Apper Form,option_d
Public Service of Nigeria comprises of the following except?,Civil Service,Parastatals,Local Government,Traditional Rulers,option_d
The body responsible for appointment to public office in the Federal Civil Service is called?,Board of Inland Revenue,Federal Character Commission,Ombudsman,The Federal Civil Service Commission,option_d
The following are types of Appointment in Civil Service except,On Probation into pensionable posts,On Non-Pensionable Contracts,Acting Appointment,As Politician,option_d
Which amongst the following is a non Eligibility Criteria for appointment in FAAN?,Medical Fitness,Not convicted of any Criminal offence,Must have worked in another government parastatal,Possess minimum required qualification,option_c
Transfer is the permanent release of an officer from one scheduled service to another while Secondment is the temporary release of an officer to the service of another government agency or international organization for a specified period.,True,False,,,option_a
The following are acts of Misconduct except,Drunkenness,Lateness to work,Sleeping on duty,Boldness,option_d
The following are acts of Serious Misconduct except,Facilitation of Records,Sexual Harassment,Misappropriation of funds,All of the above,option_d
Amongst the types of Leaves in public service are?,Pregnancy Leave,Excuse Leave,Annual Leave,Promotion Leave,option_c
Which of the following allowances is not available in Public Service?,Leave Allowance,Transfer Allowance,Duty Tour Allowance,Family Allowance,option_d
The following Staff categories are recognized by FAAN except?,Management Staff,Middle Management Staff,Supervisory Staff,Elementary Staff,option_d
